feature_set,panel_xgboost_prec,panel_xgboost_rec,panel_xgboost_f1,panel_xgboost_prec_cal,panel_xgboost_rec_cal,panel_xgboost_f1_cal,panel_xgboost_thr,panel_ngboost_prec,panel_ngboost_rec,panel_ngboost_f1,panel_ngboost_prec_cal,panel_ngboost_rec_cal,panel_ngboost_f1_cal,panel_ngboost_thr,panel_catboost_prec,panel_catboost_rec,panel_catboost_f1,panel_catboost_prec_cal,panel_catboost_rec_cal,panel_catboost_f1_cal,panel_catboost_thr,next_q_xgboost_prec,next_q_xgboost_rec,next_q_xgboost_f1,next_q_xgboost_prec_cal,next_q_xgboost_rec_cal,next_q_xgboost_f1_cal,next_q_xgboost_thr,next_q_ngboost_prec,next_q_ngboost_rec,next_q_ngboost_f1,next_q_ngboost_prec_cal,next_q_ngboost_rec_cal,next_q_ngboost_f1_cal,next_q_ngboost_thr,next_q_catboost_prec,next_q_catboost_rec,next_q_catboost_f1,next_q_catboost_prec_cal,next_q_catboost_rec_cal,next_q_catboost_f1_cal,next_q_catboost_thr
static_only,0.272,0.514,0.355,0.538,0.069,0.122,0.552,0.255,0.537,0.345,0.499,0.075,0.13,0.537,0.267,0.527,0.354,0.524,0.079,0.137,0.551,0.174,0.493,0.258,0.282,0.001,0.002,0.485,0.16,0.542,0.248,0.667,0.0,0.0,0.463,0.171,0.521,0.258,0.0,0.0,0,0.48
quarterly_only,0.246,0.468,0.322,0.502,0.015,0.029,0.533,0.232,0.472,0.311,0.409,0.015,0.029,0.534,0.241,0.478,0.321,0.451,0.026,0.049,0.531,0.219,0.264,0.24,0.0,0.0,0.0,0.633,0.19,0.368,0.251,1.0,0.0,0.0,0.6,0.21,0.305,0.249,0.0,0.0,0,0.62
quarterly_lagged,0.249,0.46,0.323,0.477,0.014,0.027,0.538,0.219,0.508,0.306,0.419,0.009,0.018,0.518,0.237,0.49,0.319,0.464,0.02,0.038,0.525,0.212,0.297,0.247,0.324,0.001,0.002,0.617,0.196,0.392,0.262,0.0,0.0,0.0,0.593,0.206,0.328,0.253,0.0,0.0,0,0.624
full,0.269,0.542,0.359,0.515,0.088,0.15,0.545,0.268,0.516,0.353,0.54,0.053,0.097,0.563,0.282,0.506,0.362,0.543,0.068,0.121,0.572,0.223,0.326,0.265,0.571,0.0,0.0,0.617,0.197,0.476,0.278,0.154,0.0,0.0,0.597,0.211,0.386,0.272,0.0,0.0,0,0.651
